Date,Employee_Name,Department,item_code,product_name,Số lượng
2024-01-26,Quý ông Quang Dương,phòng nhân sự,NL1BVE,đèn LED tròn,54
2024-12-18,Bác Minh Lê,phòng kỹ thuật,NCYJN,đèn cảm ứng,66
2025-03-14,Phương Hoàng,phòng kinh doanh,ZLXJZ5,đèn bàn học,1
2025-01-06,Hoàng Hoàng,phòng kinh doanh,X6C7WZ,đèn LED tròn,68
2024-11-23,Phương Mai Dương,phòng kỹ thuật,4V23T8,đèn bàn học,91
2024-01-21,Chị Lâm Phạm,phòng kinh doanh,FZJXH,đèn LED tròn,28
2024-02-06,Lâm Lê,phòng kinh doanh,TIM8G,đèn LED tròn,53
2024-05-18,Huy Bùi,phòng nhân sự,STFUF,đèn bàn học,26
2025-01-07,Chị Hồng Nguyễn,phòng R&D,L693VZ,đèn LED âm trần,18
2024-11-16,Chị Mai Phạm,phòng kinh doanh,K0DKS3,đèn LED tròn,100
2024-08-24,Chị Hải Phạm,phòng R&D,H6UKA,đèn bàn học,18
2024-08-06,Anh Nhiên Phạm,phòng nhân sự,JEPNUR,đèn LED tròn,1
2024-11-24,Nhật Hoàng,phòng kỹ thuật,GJGZ04,đèn bàn học,14
2024-08-30,Thành Lê,phòng nhân sự,MK109F,đèn cảm ứng,90
2024-02-15,Khoa Lê,phòng kỹ thuật,ULN9FH,đèn cảm ứng,44
2024-06-25,An Thị Mai,phòng nhân sự,JHNX8,đèn LED âm trần,79
2024-11-25,Chị Hải Lê,phòng kỹ thuật,50GBEY,đèn LED âm trần,96
2024-06-07,Bà Hạnh Hoàng,phòng R&D,F0I9VW,đèn LED tròn,21
2024-12-08,Quý cô Hải Mai,phòng kỹ thuật,ZKBGL,đèn bàn học,52
2024-10-29,Bác Huy Hoàng,phòng kỹ thuật,IH7IHG,đèn LED tròn,91
2025-02-15,Mai Đặng,phòng kỹ thuật,1HN7Y0,đèn bàn học,74
2024-03-01,Anh Phú Mai,phòng R&D,B5XFPL,đèn LED tròn,41
2024-01-21,Cô Bảo Trần,phòng nhân sự,2D7C4Z,đèn cảm ứng,36
2025-03-31,Chị Chi Nguyễn,phòng nhân sự,A3LZ0,đèn LED âm trần,98
2024-05-18,Hà Xuân Hoàng,phòng kinh doanh,BFCUDH,đèn LED âm trần,90
2024-02-22,Nam Hoàng,phòng R&D,0O3R5,đèn bàn học,14
2024-10-03,Phương Hữu Hoàng,phòng nhân sự,300WOH,đèn cảm ứng,39
2024-01-06,Nhật Thị Bùi,phòng R&D,DG4ST,đèn LED âm trần,41
2024-06-21,Cô Lâm Hoàng,phòng nhân sự,W9LPL,đèn bàn học,44
2024-12-02,Dũng Mai Bảo Nguyễn,phòng R&D,8VQ6M,đèn LED tròn,53
2024-09-10,Khoa Mai Phạm,phòng kinh doanh,KSH32L,đèn bàn học,18
2024-10-01,Nam Quang Đặng,phòng kỹ thuật,ZFQTO,đèn cảm ứng,87
2025-01-15,Cô Lâm Trần,phòng nhân sự,G7AH0,đèn LED tròn,97
2025-03-27,Hưng Lê,phòng kỹ thuật,7GGL0I,đèn cảm ứng,41
2025-02-06,Bác Nam Hoàng,phòng R&D,7FME9P,đèn LED tròn,18
2024-01-27,Khoa Bảo Phạm,phòng kỹ thuật,SBL0D,đèn bàn học,14
2025-01-30,Bác Hoàng Trần,phòng nhân sự,AHL4O,đèn bàn học,71
2024-12-09,Chị An Mai,phòng kỹ thuật,DOC5H8,đèn LED âm trần,93
2025-02-21,Hạnh Thế Vũ,phòng nhân sự,F16MV,đèn cảm ứng,65
2024-09-15,Hải Lê,phòng kỹ thuật,NXVJG,đèn cảm ứng,8
2025-04-08,Quý cô Chi Dương,phòng kinh doanh,0K1CY,đèn LED tròn,3
2025-01-06,Tú Vũ,phòng kỹ thuật,1KHL3N,đèn bàn học,92
2024-02-15,Huy Nguyễn,phòng kỹ thuật,W24SQ9,đèn cảm ứng,50
2024-05-10,Phương Hoàng,phòng R&D,EMNVJ,đèn bàn học,75
2024-04-29,Dũng Hoàng,phòng nhân sự,GD8R3G,đèn LED tròn,40
2024-03-02,Quý cô Xuân Lê,phòng kinh doanh,EAHC6C,đèn bàn học,83
2024-05-12,Yến Trần,phòng kỹ thuật,X5QFK0,đèn LED âm trần,76
2024-02-08,Linh Vũ,phòng kinh doanh,Y2JIM,đèn LED tròn,7
2024-03-20,Khoa Vũ,phòng kỹ thuật,70IFVI,đèn bàn học,65
2024-03-30,An Văn Nguyễn,phòng kỹ thuật,ES6YF,đèn cảm ứng,70
2024-10-23,Bà Yến Bùi,phòng R&D,NJCTS,đèn cảm ứng,51
2024-02-20,Ông Quang Nguyễn,phòng R&D,X2485,đèn LED tròn,31
2024-06-06,Hạnh Thị Dương,phòng kỹ thuật,QOXWPA,đèn bàn học,67
2024-04-20,Duyên Mai,phòng nhân sự,BZTYJ,đèn LED âm trần,79
2024-02-20,Lâm Hoàng Nguyễn,phòng kỹ thuật,CB4OJX,đèn LED tròn,80
2024-04-16,Trung Lê,phòng kỹ thuật,905CO,đèn LED tròn,20
2024-11-03,Vi Trần,phòng kinh doanh,3UOCW0,đèn LED âm trần,32
2024-04-17,Yến Vũ,phòng kỹ thuật,IAR5Q,đèn LED tròn,19
2024-05-01,Chị Hồng Lê,phòng R&D,SMDT2,đèn LED âm trần,76
2024-11-20,Thảo Mai,phòng R&D,9DU9T1,đèn bàn học,70
2024-08-28,Thành Đức Mai,phòng kinh doanh,WV0C5,đèn bàn học,74
2024-06-24,Cô Linh Hoàng,phòng nhân sự,78A6ZN,đèn LED âm trần,27
2024-04-13,Yến Bùi,phòng kinh doanh,370LZ,đèn bàn học,52
2025-03-05,Bác Dũng Bùi,phòng kinh doanh,BVMBRQ,đèn LED tròn,8
2024-06-28,Anh Khoa Lê,phòng kinh doanh,7KW21Z,đèn bàn học,98
2024-09-01,Nhật Vũ,phòng kỹ thuật,73F34,đèn LED tròn,79
2025-02-14,Anh Mai,phòng kinh doanh,5ZX9B,đèn LED âm trần,21
2024-02-21,Hà Thị Trần,phòng R&D,8EWG0,đèn cảm ứng,98
2024-03-12,Quý cô Nhật Mai,phòng R&D,Z39Z4S,đèn cảm ứng,12
2024-03-30,Quang Đức Hoàng,phòng kinh doanh,GCHYS,đèn bàn học,37
2024-05-16,Vân Bùi,phòng nhân sự,JJI7H,đèn LED âm trần,61
2025-04-03,Quý ông Phúc Bùi,phòng kinh doanh,56O2I,đèn LED âm trần,5
2024-06-10,Quang Quang Nguyễn,phòng kinh doanh,QOYSXY,đèn LED tròn,1
2024-12-21,Hạnh Mai,phòng R&D,RLAUD,đèn LED âm trần,25
2024-09-15,Anh Bùi,phòng R&D,L6M3Z,đèn LED tròn,94
2025-01-18,Dương Vũ,phòng kỹ thuật,XL5JUH,đèn bàn học,22
2024-11-01,Chị Dương Nguyễn,phòng kinh doanh,WCAWUB,đèn bàn học,56
2024-08-20,Ông Bảo Phạm,phòng nhân sự,79M7NB,đèn cảm ứng,18
2024-10-20,Anh Trung Phạm,phòng kỹ thuật,COZR2,đèn cảm ứng,84
2025-02-18,Dương Nguyễn,phòng nhân sự,OCCPHA,đèn LED âm trần,31
2024-06-27,Hải Vũ,phòng nhân sự,WOESO,đèn bàn học,44
2024-04-12,Dũng Lê,phòng kinh doanh,L9QKR6,đèn LED tròn,64
2025-01-11,Lâm Phú Lê,phòng kinh doanh,BYOGO2,đèn LED âm trần,6
2025-03-12,Trọng Thị Mai,phòng R&D,96K3ZG,đèn cảm ứng,100
2024-11-10,Hải Vũ,phòng kinh doanh,LZ3AZ,đèn LED âm trần,41
2024-05-28,Quý cô Vân Nguyễn,phòng kỹ thuật,44JM76,đèn LED tròn,99
2025-03-12,An Dương,phòng kinh doanh,HJFOT,đèn LED tròn,97
2024-07-20,Minh Thế Phạm,phòng kỹ thuật,MUVJLN,đèn LED tròn,66
2025-02-10,Vân Hoàng,phòng kinh doanh,BLUMZ,đèn LED tròn,23
2024-05-19,Trung Phạm,phòng kỹ thuật,NW3DN,đèn cảm ứng,73
2024-06-29,Trọng Văn Mai,phòng R&D,TZ4PM,đèn bàn học,8
2025-04-08,Chị Nhật Trần,phòng R&D,XJBMU,đèn LED âm trần,79
2024-01-23,Kim Dương,phòng R&D,7IFC38,đèn LED âm trần,64
2024-05-08,Khoa Mai,phòng kỹ thuật,NHX4KH,đèn bàn học,10
2024-10-21,Kim Lê,phòng kỹ thuật,NZ7PGZ,đèn cảm ứng,47
2024-07-17,Chị Hải Nguyễn,phòng nhân sự,BID6S7,đèn LED âm trần,43
2024-11-22,Bà Hà Mai,phòng R&D,4B2DMN,đèn LED tròn,40
2025-02-09,Ông Trung Lê,phòng R&D,X8LBB,đèn LED âm trần,89
2024-10-08,Bảo Đức Dương,phòng kinh doanh,VSPED,đèn bàn học,80
2024-09-09,Bà Vi Dương,phòng R&D,KA31Y,đèn bàn học,95
2024-10-25,Ông Huy Nguyễn,phòng kỹ thuật,FTGS8,đèn LED tròn,80
2025-01-26,Thành Đặng,phòng R&D,X72O64,đèn cảm ứng,59
2024-08-31,Anh Trần,phòng R&D,6DEO08,đèn bàn học,59
2024-11-28,Chị Bảo Bùi,phòng nhân sự,W4T7WA,đèn bàn học,13
2024-07-07,Bác Châu Đặng,phòng kỹ thuật,L43ZY,đèn cảm ứng,8
2024-03-05,Nhật Dương,phòng kinh doanh,VMJMJZ,đèn LED tròn,1
2024-08-16,Quý cô Lan Dương,phòng nhân sự,8SRYB,đèn cảm ứng,34
2024-05-05,Yến Nguyễn,phòng kỹ thuật,BEXFV,đèn bàn học,40
2024-07-02,Anh Trần,phòng kỹ thuật,WZQKH,đèn cảm ứng,26
2024-06-17,Tùng Dương,phòng kinh doanh,NJJZ9,đèn LED âm trần,86
2024-05-25,Kim Lê,phòng kỹ thuật,ZVMTV,đèn cảm ứng,82
2025-03-04,Quý ông Hoàng Nguyễn,phòng kỹ thuật,HOCDJ4,đèn cảm ứng,18
2024-09-29,Quý cô Xuân Trần,phòng R&D,5LFU9,đèn LED tròn,47
2025-02-10,Bà Nhật Bùi,phòng nhân sự,QS2C13,đèn LED tròn,75
2024-08-28,Ông Dũng Phạm,phòng kinh doanh,XAJWI,đèn LED âm trần,10
2024-12-20,Hương Vũ,phòng R&D,MK6RD,đèn LED tròn,64
2024-11-11,Chị An Bùi,phòng kỹ thuật,QTS5X,đèn cảm ứng,74
2024-04-04,Bảo Đặng,phòng kỹ thuật,130RJ,đèn bàn học,73
2024-07-03,Hạnh Bảo Hoàng,phòng kỹ thuật,V70MR0,đèn bàn học,67
2024-01-17,Cô Duyên Dương,phòng kinh doanh,50M0V,đèn LED tròn,47
2024-11-30,Hương Hoàng,phòng R&D,5Y5S5,đèn cảm ứng,95
2024-02-18,Bà Vi Lê,phòng kinh doanh,A2U8I,đèn LED âm trần,78
2025-02-17,Khoa Phạm,phòng R&D,Z7IK1,đèn LED âm trần,78
2025-02-10,Dũng Thế Lê,phòng kinh doanh,DW5JG4,đèn LED âm trần,46
2024-10-01,Trung Đức Mai,phòng kỹ thuật,1V3PU8,đèn cảm ứng,33
2024-07-07,Quý cô Ánh Lê,phòng nhân sự,OF1IPU,đèn LED tròn,89
2024-04-14,Huy Dương,phòng kỹ thuật,0QCX0,đèn LED tròn,22
2024-09-12,Bác Dũng Đặng,phòng kỹ thuật,5X6QER,đèn LED âm trần,99
2024-09-26,Vi Nguyễn,phòng kỹ thuật,MGTUAB,đèn bàn học,53
2024-01-27,Dương Hoàng,phòng nhân sự,XM426,đèn LED âm trần,84
2024-07-26,Nhiên Hoàng,phòng kỹ thuật,KYQI3,đèn cảm ứng,5
2024-02-13,Quý ông Trung Lê,phòng R&D,P5MH2,đèn bàn học,77
2024-01-23,Bà Khoa Mai,phòng R&D,3N5GW6,đèn cảm ứng,83
2024-03-07,Quý ông Anh Đặng,phòng kinh doanh,M0P83L,đèn LED tròn,42
2024-11-12,Khoa Đức Đặng,phòng nhân sự,XQFEAA,đèn cảm ứng,19
2024-10-08,Chị Phương Bùi,phòng kinh doanh,7WERWP,đèn cảm ứng,26
2025-02-16,Chị Thành Hoàng,phòng kinh doanh,S6BZQU,đèn bàn học,16
2024-09-29,Ông Huy Hoàng,phòng kinh doanh,RHG1A,đèn bàn học,76
2025-02-07,Chị Kim Nguyễn,phòng kỹ thuật,9Y1UA,đèn LED tròn,6
2024-08-07,Bảo Thị Bùi,phòng nhân sự,DLK5W,đèn bàn học,16
2024-10-17,Dương Bùi,phòng kinh doanh,MSSQI,đèn bàn học,4
2024-11-11,An Thế Lê,phòng kỹ thuật,IK1GP,đèn LED tròn,56
2024-04-15,Dũng Thị Mai,phòng R&D,CDC8Y,đèn LED tròn,52
2024-04-26,Hạnh Hải Trần,phòng nhân sự,Z6QB7,đèn LED âm trần,32
2024-05-15,Huy Hải Lê,phòng kỹ thuật,FOIRWT,đèn LED âm trần,85
2025-01-05,Vũ Hoàng,phòng kỹ thuật,NLK80,đèn cảm ứng,2
2024-05-14,Hoàng Đặng,phòng kỹ thuật,JGH9Y,đèn cảm ứng,4
2024-01-26,Bác Nam Nguyễn,phòng kỹ thuật,O5XHD,đèn LED âm trần,74
2025-03-03,Minh Thị Hoàng,phòng kinh doanh,Y9IZL9,đèn bàn học,55
2024-10-20,Thảo Dương,phòng kỹ thuật,QXWLJ,đèn LED âm trần,41
2024-12-23,Phương Dương,phòng kinh doanh,PCWI4,đèn cảm ứng,39
2025-01-25,Chi Dương,phòng nhân sự,LRX8S,đèn LED âm trần,66
2024-06-18,Cô Nhật Đặng,phòng R&D,KFAQJO,đèn cảm ứng,25
2024-11-05,Vi Lê,phòng kinh doanh,DQ78P,đèn LED tròn,74
2025-02-21,Hà Dương,phòng kinh doanh,V2M70M,đèn LED tròn,53
2024-09-02,Bác Nam Phạm,phòng kỹ thuật,U06X8X,đèn LED tròn,28
2024-09-23,Anh Văn Vũ,phòng kinh doanh,FM28FL,đèn bàn học,9
2025-03-21,Chị Chi Nguyễn,phòng R&D,PFGG0,đèn cảm ứng,9
2024-02-23,Dương Vũ,phòng kỹ thuật,G2602A,đèn bàn học,6
2025-02-18,Bà Hồng Nguyễn,phòng R&D,KF5P2,đèn LED tròn,17
2024-09-29,Quý cô Dương Mai,phòng kinh doanh,REL07E,đèn LED âm trần,51
2024-11-24,Nhật Mai,phòng nhân sự,FT6P9,đèn bàn học,77
2024-09-11,Nhật Đức Lê,phòng nhân sự,QLRXN,đèn LED tròn,36
2024-10-04,Cô Thảo Dương,phòng R&D,ZGXCS,đèn cảm ứng,76
2024-08-15,Hà Hoàng,phòng kỹ thuật,FQPCV,đèn bàn học,74
2024-06-01,Vân Nguyễn,phòng R&D,X24VEH,đèn LED âm trần,43
2024-12-20,Bác Trọng Phạm,phòng kỹ thuật,8PUE2,đèn cảm ứng,49
2024-11-14,Duyên Lê,phòng nhân sự,YXLRC,đèn cảm ứng,94
2024-12-09,Hải Đặng,phòng nhân sự,O1LVZL,đèn cảm ứng,14
2024-01-18,Bác Nam Dương,phòng nhân sự,32A8P,đèn LED tròn,39
2025-02-13,Chị Ngọc Trần,phòng R&D,R66NC,đèn LED âm trần,36
2025-03-06,Vân Mai,phòng kỹ thuật,N2DFW,đèn bàn học,52
2025-03-08,Thành Mai Bùi,phòng kỹ thuật,LHVEO,đèn LED tròn,5
2024-10-24,Nhật Mai Bảo Đặng,phòng kỹ thuật,QLGTV,đèn bàn học,36
2024-02-12,Minh Tấn Phạm,phòng nhân sự,VEMXO,đèn LED âm trần,33
2025-01-06,Hạnh Hoàng,phòng nhân sự,61ZF6,đèn bàn học,34
2024-04-29,Quý cô Linh Đặng,phòng kỹ thuật,X5MLU3,đèn LED tròn,65
2024-12-01,Hoàng Đặng,phòng kinh doanh,NM5WV,đèn LED tròn,47
2024-12-17,Cô Chi Phạm,phòng nhân sự,NUGN09,đèn bàn học,29
2024-11-23,Chị Bảo Mai,phòng kinh doanh,R70IVT,đèn bàn học,97
2024-06-28,Phương Hoàng,phòng nhân sự,LGZTUH,đèn LED âm trần,32
2024-10-09,An Mai,phòng kỹ thuật,XCCBA,đèn LED tròn,64
2025-02-24,Anh Trần,phòng kỹ thuật,IFKUM,đèn LED tròn,23
2024-06-06,Hải Dương,phòng nhân sự,546YYB,đèn LED tròn,15
2024-05-05,Ngọc Bùi,phòng kỹ thuật,L0PJW,đèn bàn học,75
2024-01-01,Dương Nguyễn,phòng R&D,8SX1X,đèn LED âm trần,60
2025-03-09,Ông Tú Phạm,phòng nhân sự,9MCY6V,đèn LED tròn,38
2025-03-18,Chị Khoa Hoàng,phòng R&D,VQC62K,đèn LED âm trần,46
2025-01-10,Cô Duyên Nguyễn,phòng nhân sự,B6AMI,đèn cảm ứng,12
2025-02-12,Tùng Nguyễn,phòng R&D,CN7KD,đèn bàn học,25
2024-08-22,Phương Trần,phòng kinh doanh,7QCB9D,đèn LED âm trần,24
2024-12-16,Tùng Hữu Đặng,phòng kỹ thuật,S1TTK,đèn LED tròn,33
2024-06-21,Quang Mai Bảo Hoàng,phòng R&D,CK73U,đèn cảm ứng,90
2025-03-22,Nhật Xuân Bùi,phòng kỹ thuật,4HT4O,đèn cảm ứng,72
2024-09-02,Trung Trần,phòng kỹ thuật,SQBEI,đèn LED tròn,2
2024-08-19,Hạnh Mai Đặng,phòng R&D,TGBFJ4,đèn LED âm trần,27
2025-02-01,Lâm Trí Hoàng,phòng nhân sự,V6V2I,đèn bàn học,90
2024-10-21,Hoàng Nguyễn,phòng kinh doanh,UN8SS,đèn cảm ứng,98
2024-04-18,Quý ông Hoàng Hoàng,phòng kinh doanh,CROT0B,đèn bàn học,50
2024-11-12,Chị Hương Mai,phòng kinh doanh,465VS,đèn LED âm trần,88
2024-01-16,Chị Thành Dương,phòng nhân sự,DJ72NY,đèn cảm ứng,62
2025-01-31,Tú Dương,phòng R&D,AEDHGD,đèn cảm ứng,13
2025-01-01,Lâm Vũ,phòng kinh doanh,1LO5J,đèn bàn học,10
2024-01-25,Ông Dũng Bùi,phòng nhân sự,W8SDW,đèn cảm ứng,25
2024-07-24,Anh Dũng Trần,phòng kỹ thuật,OIEVH,đèn cảm ứng,88
2024-08-27,Cô Chi Bùi,phòng R&D,MWIJF7,đèn LED âm trần,38
2025-01-15,Quang Quang Lê,phòng kỹ thuật,62YML,đèn LED âm trần,44
2024-04-16,Mai Hoàng,phòng kinh doanh,LVGGT,đèn bàn học,76
2024-08-10,Quý ông Trọng Dương,phòng R&D,MGYXA,đèn LED âm trần,62
2025-01-22,Bà Hồng Phạm,phòng nhân sự,NIEFU,đèn LED tròn,49
2024-08-24,Cô Nhật Nguyễn,phòng R&D,BGL5P,đèn bàn học,69
2025-01-02,Khoa Trần,phòng kỹ thuật,N62P1,đèn LED tròn,32
2025-01-23,Bà Thành Hoàng,phòng kinh doanh,LMCHM,đèn LED âm trần,61
2024-12-25,Hải Phú Phạm,phòng nhân sự,MAHXP,đèn bàn học,95
2025-02-11,Bà Hồng Vũ,phòng kinh doanh,NXOCA,đèn LED tròn,2
2024-10-08,Hải Bùi,phòng R&D,Q9O9VD,đèn bàn học,29
2024-10-02,Tùng Bảo Bùi,phòng nhân sự,ZT4G7V,đèn LED âm trần,87
2024-11-16,Kim Mai,phòng R&D,30I1P0,đèn LED âm trần,97
2024-09-02,Phương Bảo Lê,phòng kinh doanh,RAOU38,đèn bàn học,46
2024-03-16,Hưng Xuân Hoàng,phòng kinh doanh,IX2NR,đèn LED tròn,15
2025-03-20,Bà Xuân Lê,phòng kỹ thuật,AER2PC,đèn LED âm trần,63
2024-01-07,Bà An Mai,phòng nhân sự,ZW8IU,đèn LED tròn,40
2024-02-18,Bà Lan Trần,phòng kỹ thuật,Q0W7IM,đèn LED tròn,5
2024-05-27,Cô Khoa Bùi,phòng nhân sự,78KNC,đèn LED âm trần,75
2024-03-29,Quý ông Huy Bùi,phòng kinh doanh,Y53YUN,đèn LED tròn,2
2024-07-23,Bà Thảo Đặng,phòng nhân sự,2IQKI9,đèn LED âm trần,6
2024-09-24,Thành Hoàng,phòng nhân sự,EM538,đèn cảm ứng,36
2024-12-31,An Nguyễn,phòng kỹ thuật,YEC9O,đèn LED âm trần,25
2024-09-14,Bác Hoàng Mai,phòng nhân sự,Y4JSCH,đèn LED tròn,45
2024-03-29,Nhiên Vũ,phòng kinh doanh,8KH9G,đèn LED tròn,68
2024-09-14,Trọng Dương,phòng nhân sự,4L3TI,đèn LED tròn,80
2025-02-18,Vi Nguyễn,phòng R&D,SQ6QBX,đèn LED tròn,42
2025-02-25,Bà Hải Hoàng,phòng kỹ thuật,0OYLW,đèn cảm ứng,25
2024-09-25,Linh Dương,phòng kinh doanh,W46EMN,đèn cảm ứng,31
2024-12-24,Khoa Vũ,phòng R&D,IFI92K,đèn bàn học,56
2024-02-24,Lâm Hữu Vũ,phòng kỹ thuật,A86Q0,đèn LED tròn,81
2024-08-08,Bà Thành Vũ,phòng nhân sự,2ED9XB,đèn bàn học,67
2024-01-29,Lâm Phạm,phòng kinh doanh,AX0B6,đèn LED tròn,44
2024-08-12,Phúc Phạm,phòng R&D,N8YD8,đèn cảm ứng,45
2024-12-27,Lâm Hải Bùi,phòng kỹ thuật,WCFAC,đèn LED tròn,49
2024-02-19,Chị Hương Mai,phòng R&D,YNW172,đèn bàn học,43
2024-10-23,Lâm Hoàng,phòng kỹ thuật,GSH9GR,đèn cảm ứng,94
2024-12-28,Anh Thị Mai,phòng R&D,WVPANQ,đèn LED âm trần,83
2024-07-01,Lan Bùi,phòng kỹ thuật,0YPMKF,đèn bàn học,35
2024-10-18,Hải Mai,phòng kỹ thuật,5RFM6F,đèn LED tròn,71
2024-05-10,Khoa Quang Dương,phòng kỹ thuật,92Z03,đèn cảm ứng,15
2024-05-09,Quý cô Duyên Lê,phòng kỹ thuật,AHJM7,đèn LED tròn,68
2024-05-27,Thành Đặng,phòng R&D,EY5VCH,đèn cảm ứng,83
2024-09-18,Anh Thị Lê,phòng kỹ thuật,YB50L6,đèn bàn học,24
2024-11-28,Quang Văn Nguyễn,phòng kỹ thuật,G3ES44,đèn bàn học,88
2024-04-08,Anh Khoa Hoàng,phòng R&D,HYAN2,đèn bàn học,69
2024-07-13,Nhật Quang Hoàng,phòng nhân sự,2X1AE,đèn bàn học,1
2024-04-11,Bảo Nguyễn,phòng kỹ thuật,JUXM7,đèn bàn học,24
2024-12-26,Vũ Mai,phòng kinh doanh,C3BFRD,đèn LED âm trần,3
2025-03-24,Hải Đặng,phòng kinh doanh,A412I,đèn LED âm trần,67
2024-04-28,Ông Thành Mai,phòng kinh doanh,ZIAQF,đèn LED âm trần,40
2024-05-16,Quang Trần,phòng nhân sự,M25W9,đèn bàn học,24
2025-03-09,Bà Thành Phạm,phòng kinh doanh,E4JRD,đèn LED tròn,30
2024-06-05,Hồng Mai,phòng nhân sự,VJ7DW,đèn LED âm trần,2
2024-11-26,Quý cô Bảo Lê,phòng kinh doanh,W1OX7M,đèn cảm ứng,20
2024-11-10,Vũ Vũ,phòng kỹ thuật,8THSAX,đèn LED tròn,88
2024-05-12,An Đặng,phòng R&D,7UT3X8,đèn bàn học,52
