Date,Employee_Name,KPI_code,region,product_name,Số KPI
2024-02-22,Nam Hoàng,1S2LU,miền Nam,đèn bàn học,699
2024-10-03,Phương Hữu Hoàng,RN9SX,miền Trung,đèn cảm ứng,262
2024-01-06,Nhật Thị Bùi,87ZAF,miền Bắc,đèn LED âm trần,271
2024-06-21,Cô Lâm Hoàng,IIW273,miền Bắc,đèn bàn học,718
2024-12-02,Dũng Mai Bảo Nguyễn,AZ7375,miền Bắc,đèn LED tròn,460
2024-09-10,Khoa Mai Phạm,RG1QW,miền Trung,đèn bàn học,249
2024-10-01,Nam Quang Đặng,3B6YX2,miền Nam,đèn cảm ứng,391
2025-01-15,Cô Lâm Trần,PCADM,miền Trung,đèn LED tròn,757
2025-03-27,Hưng Lê,1GX6QI,miền Trung,đèn cảm ứng,841
2025-02-06,Bác Nam Hoàng,0AGM2,miền Bắc,đèn LED tròn,606
2024-01-27,Khoa Bảo Phạm,NYLJF,miền Bắc,đèn bàn học,348
2025-01-30,Bác Hoàng Trần,8NH7BD,miền Nam,đèn bàn học,305
2024-12-09,Chị An Mai,7QXL4,miền Bắc,đèn LED âm trần,731
2025-02-21,Hạnh Thế Vũ,M7ICT,miền Bắc,đèn cảm ứng,751
2024-09-15,Hải Lê,8742Q,miền Bắc,đèn cảm ứng,593
2025-04-08,Quý cô Chi Dương,SLGDTS,miền Trung,đèn LED tròn,775
2025-01-06,Tú Vũ,9T6VX6,miền Trung,đèn bàn học,750
2024-02-15,Huy Nguyễn,Y1IFX,miền Bắc,đèn cảm ứng,448
2024-05-10,Phương Hoàng,HRFA5,miền Bắc,đèn bàn học,251
2024-04-29,Dũng Hoàng,WXX8T,miền Bắc,đèn LED tròn,497
2024-03-02,Quý cô Xuân Lê,46V9KR,miền Bắc,đèn bàn học,963
2024-05-12,Yến Trần,JQQIGW,miền Trung,đèn LED âm trần,397
2024-02-08,Linh Vũ,5XG42,miền Trung,đèn LED tròn,662
2024-03-20,Khoa Vũ,5V8YGL,miền Bắc,đèn bàn học,684
2024-03-30,An Văn Nguyễn,WRSJR,miền Bắc,đèn cảm ứng,398
2024-10-23,Bà Yến Bùi,XIRRMX,miền Bắc,đèn cảm ứng,319
2024-02-20,Ông Quang Nguyễn,L32NI5,miền Bắc,đèn LED tròn,813
2024-06-06,Hạnh Thị Dương,LKQ6B,miền Bắc,đèn bàn học,931
2024-04-20,Duyên Mai,CXI7AJ,miền Nam,đèn LED âm trần,551
2024-02-20,Lâm Hoàng Nguyễn,1E5AJL,miền Trung,đèn LED tròn,274
2024-04-16,Trung Lê,KBXS8,miền Trung,đèn LED tròn,4
2024-11-03,Vi Trần,2JYV9,miền Trung,đèn LED âm trần,717
2024-04-17,Yến Vũ,6N0SA,miền Nam,đèn LED tròn,815
2024-05-01,Chị Hồng Lê,NP9HD,miền Bắc,đèn LED âm trần,563
2024-11-20,Thảo Mai,6948R4,miền Nam,đèn bàn học,247
2024-08-28,Thành Đức Mai,2EH2DV,miền Nam,đèn bàn học,488
2024-06-24,Cô Linh Hoàng,68E1V,miền Bắc,đèn LED âm trần,112
2024-04-13,Yến Bùi,RPGWX1,miền Trung,đèn bàn học,58
2025-03-05,Bác Dũng Bùi,5WA7D,miền Nam,đèn LED tròn,833
2024-06-28,Anh Khoa Lê,Q0ITO,miền Nam,đèn bàn học,615
2024-09-01,Nhật Vũ,HT1A46,miền Trung,đèn LED tròn,144
2025-02-14,Anh Mai,0OC4X,miền Nam,đèn LED âm trần,956
2024-02-21,Hà Thị Trần,E3E6ZV,miền Trung,đèn cảm ứng,550
2024-03-12,Quý cô Nhật Mai,YU9RH,miền Trung,đèn cảm ứng,928
2024-03-30,Quang Đức Hoàng,Z6I2H,miền Trung,đèn bàn học,958
2024-05-16,Vân Bùi,N48ZPM,miền Bắc,đèn LED âm trần,80
2025-04-03,Quý ông Phúc Bùi,PTKHUO,miền Trung,đèn LED âm trần,994
2024-06-10,Quang Quang Nguyễn,AKUGMS,miền Trung,đèn LED tròn,784
2024-12-21,Hạnh Mai,YG22JR,miền Trung,đèn LED âm trần,74
2024-09-15,Anh Bùi,U3ZSV,miền Nam,đèn LED tròn,843
2025-01-18,Dương Vũ,T8SCU0,miền Bắc,đèn bàn học,21
2024-11-01,Chị Dương Nguyễn,BWALWQ,miền Trung,đèn bàn học,23
2024-08-20,Ông Bảo Phạm,LY8MWX,miền Trung,đèn cảm ứng,696
2024-10-20,Anh Trung Phạm,A80IKL,miền Bắc,đèn cảm ứng,778
2025-02-18,Dương Nguyễn,X30GR,miền Bắc,đèn LED âm trần,757
2024-06-27,Hải Vũ,R5OMX7,miền Bắc,đèn bàn học,847
2024-04-12,Dũng Lê,7G6Q3S,miền Trung,đèn LED tròn,332
2025-01-11,Lâm Phú Lê,S5PJRZ,miền Nam,đèn LED âm trần,447
2025-03-12,Trọng Thị Mai,36DXK,miền Nam,đèn cảm ứng,429
2024-11-10,Hải Vũ,ZNBVGV,miền Nam,đèn LED âm trần,835
2024-05-28,Quý cô Vân Nguyễn,J3NCL8,miền Bắc,đèn LED tròn,642
2025-03-12,An Dương,0ZGKBJ,miền Trung,đèn LED tròn,427
2024-07-20,Minh Thế Phạm,TTOU4F,miền Bắc,đèn LED tròn,840
2025-02-10,Vân Hoàng,XQCVXH,miền Bắc,đèn LED tròn,86
2024-05-19,Trung Phạm,KVCRH,miền Nam,đèn cảm ứng,46
2024-06-29,Trọng Văn Mai,ITWQY5,miền Nam,đèn bàn học,28
2025-04-08,Chị Nhật Trần,3QNDF,miền Bắc,đèn LED âm trần,563
2024-01-23,Kim Dương,65YL1C,miền Nam,đèn LED âm trần,482
2024-05-08,Khoa Mai,3UW7BT,miền Trung,đèn bàn học,272
2024-10-21,Kim Lê,5DS405,miền Nam,đèn cảm ứng,732
2024-07-17,Chị Hải Nguyễn,RTTCGL,miền Nam,đèn LED âm trần,924
2024-11-22,Bà Hà Mai,6IE0B,miền Nam,đèn LED tròn,840
2025-02-09,Ông Trung Lê,XRLGW8,miền Bắc,đèn LED âm trần,34
2024-10-08,Bảo Đức Dương,H3T5NV,miền Bắc,đèn bàn học,265
2024-09-09,Bà Vi Dương,WU1JR,miền Bắc,đèn bàn học,923
2024-10-25,Ông Huy Nguyễn,1I2SX,miền Trung,đèn LED tròn,588
2025-01-26,Thành Đặng,JT411N,miền Nam,đèn cảm ứng,168
2024-08-31,Anh Trần,W1ATYX,miền Nam,đèn bàn học,911
2024-11-28,Chị Bảo Bùi,UG8HYO,miền Nam,đèn bàn học,375
2024-07-07,Bác Châu Đặng,I97I3B,miền Trung,đèn cảm ứng,446
2024-03-05,Nhật Dương,1LWMX2,miền Bắc,đèn LED tròn,186
2024-08-16,Quý cô Lan Dương,9SW3G,miền Trung,đèn cảm ứng,345
2024-05-05,Yến Nguyễn,Y2YYY,miền Nam,đèn bàn học,3
2024-07-02,Anh Trần,GISJD,miền Bắc,đèn cảm ứng,582
2024-06-17,Tùng Dương,1GEH0D,miền Bắc,đèn LED âm trần,30
2024-05-25,Kim Lê,O7M98E,miền Nam,đèn cảm ứng,756
2025-03-04,Quý ông Hoàng Nguyễn,8V7NHX,miền Nam,đèn cảm ứng,485
2024-09-29,Quý cô Xuân Trần,PSRLVK,miền Trung,đèn LED tròn,815
2025-02-10,Bà Nhật Bùi,OYDC7,miền Trung,đèn LED tròn,117
2024-08-28,Ông Dũng Phạm,TNMWO,miền Nam,đèn LED âm trần,579
2024-12-20,Hương Vũ,J237U,miền Trung,đèn LED tròn,380
2024-11-11,Chị An Bùi,TZDCW,miền Trung,đèn cảm ứng,284
2024-04-04,Bảo Đặng,VZ1YR9,miền Trung,đèn bàn học,305
2024-07-03,Hạnh Bảo Hoàng,ELE61,miền Bắc,đèn bàn học,180
2024-01-17,Cô Duyên Dương,88CFMR,miền Trung,đèn LED tròn,730
2024-11-30,Hương Hoàng,RJKVJH,miền Nam,đèn cảm ứng,9
2024-02-18,Bà Vi Lê,YKURZ,miền Nam,đèn LED âm trần,348
2025-02-17,Khoa Phạm,PXWKR,miền Nam,đèn LED âm trần,917
2025-02-10,Dũng Thế Lê,OICH8,miền Nam,đèn LED âm trần,62
2024-10-01,Trung Đức Mai,973JX,miền Nam,đèn cảm ứng,678
2024-07-07,Quý cô Ánh Lê,HZIEAC,miền Trung,đèn LED tròn,266
2024-04-14,Huy Dương,U4JF86,miền Bắc,đèn LED tròn,299
2024-09-12,Bác Dũng Đặng,IPYNA3,miền Trung,đèn LED âm trần,432
2024-09-26,Vi Nguyễn,2B4K1V,miền Nam,đèn bàn học,72
2024-01-27,Dương Hoàng,J7K05,miền Trung,đèn LED âm trần,596
2024-07-26,Nhiên Hoàng,77G21H,miền Nam,đèn cảm ứng,498
2024-02-13,Quý ông Trung Lê,9HAF2,miền Bắc,đèn bàn học,402
2024-01-23,Bà Khoa Mai,TOUEK,miền Trung,đèn cảm ứng,74
2024-03-07,Quý ông Anh Đặng,CZVNK2,miền Nam,đèn LED tròn,606
2024-11-12,Khoa Đức Đặng,YCEUS3,miền Bắc,đèn cảm ứng,596
2024-10-08,Chị Phương Bùi,3PLGC,miền Trung,đèn cảm ứng,897
2025-02-16,Chị Thành Hoàng,SLIKI,miền Nam,đèn bàn học,899
2024-09-29,Ông Huy Hoàng,LBH47B,miền Bắc,đèn bàn học,811
2025-02-07,Chị Kim Nguyễn,8CM1S,miền Trung,đèn LED tròn,779
2024-08-07,Bảo Thị Bùi,F1BTH1,miền Bắc,đèn bàn học,554
2024-10-17,Dương Bùi,42K7Q,miền Nam,đèn bàn học,149
2024-11-11,An Thế Lê,AERAO,miền Nam,đèn LED tròn,683
2024-04-15,Dũng Thị Mai,2OD41,miền Nam,đèn LED tròn,772
2024-04-26,Hạnh Hải Trần,AAWJS,miền Nam,đèn LED âm trần,48
2024-05-15,Huy Hải Lê,T3OP5U,miền Nam,đèn LED âm trần,167
2025-01-05,Vũ Hoàng,U5HJ3,miền Bắc,đèn cảm ứng,905
2024-05-14,Hoàng Đặng,MJ014,miền Trung,đèn cảm ứng,213
2024-01-26,Bác Nam Nguyễn,99BU44,miền Nam,đèn LED âm trần,139
2025-03-03,Minh Thị Hoàng,87V7ET,miền Nam,đèn bàn học,819
2024-10-20,Thảo Dương,RFENC,miền Trung,đèn LED âm trần,904
2024-12-23,Phương Dương,TYIJV,miền Bắc,đèn cảm ứng,972
2025-01-25,Chi Dương,NMKJKS,miền Nam,đèn LED âm trần,946
2024-06-18,Cô Nhật Đặng,N68ITH,miền Trung,đèn cảm ứng,366
2024-11-05,Vi Lê,4YP3A,miền Bắc,đèn LED tròn,913
2025-02-21,Hà Dương,RP4M9S,miền Bắc,đèn LED tròn,243
2024-09-02,Bác Nam Phạm,KP3EKB,miền Nam,đèn LED tròn,49
2024-09-23,Anh Văn Vũ,M77KBF,miền Bắc,đèn bàn học,949
2025-03-21,Chị Chi Nguyễn,2UNOIF,miền Trung,đèn cảm ứng,37
2024-02-23,Dương Vũ,NQS42,miền Trung,đèn bàn học,865
2025-02-18,Bà Hồng Nguyễn,RRSUEZ,miền Bắc,đèn LED tròn,1
2024-09-29,Quý cô Dương Mai,N3AK7,miền Trung,đèn LED âm trần,283
2024-11-24,Nhật Mai,ESKOQM,miền Trung,đèn bàn học,199
2024-09-11,Nhật Đức Lê,YOZ4NG,miền Nam,đèn LED tròn,192
2024-10-04,Cô Thảo Dương,4DUROT,miền Bắc,đèn cảm ứng,290
2024-08-15,Hà Hoàng,YHJCT,miền Nam,đèn bàn học,3
2024-06-01,Vân Nguyễn,TUHXV,miền Trung,đèn LED âm trần,204
2024-12-20,Bác Trọng Phạm,2J485K,miền Trung,đèn cảm ứng,200
2024-11-14,Duyên Lê,B2DYX2,miền Nam,đèn cảm ứng,660
2024-12-09,Hải Đặng,9EOMAC,miền Bắc,đèn cảm ứng,304
2024-01-18,Bác Nam Dương,AG3X8,miền Nam,đèn LED tròn,16
2025-02-13,Chị Ngọc Trần,TBYEO,miền Nam,đèn LED âm trần,91
2025-03-06,Vân Mai,9RC4Y,miền Bắc,đèn bàn học,129
2025-03-08,Thành Mai Bùi,XWW289,miền Nam,đèn LED tròn,598
2024-10-24,Nhật Mai Bảo Đặng,XAA45T,miền Trung,đèn bàn học,890
2024-02-12,Minh Tấn Phạm,1MRQK,miền Nam,đèn LED âm trần,831
2025-01-06,Hạnh Hoàng,Y5395O,miền Trung,đèn bàn học,965
2024-04-29,Quý cô Linh Đặng,WJLEY,miền Trung,đèn LED tròn,749
2024-12-01,Hoàng Đặng,LH54GK,miền Bắc,đèn LED tròn,407
2024-12-17,Cô Chi Phạm,NMTHQ,miền Bắc,đèn bàn học,927
2024-11-23,Chị Bảo Mai,MLC0X2,miền Bắc,đèn bàn học,467
2024-06-28,Phương Hoàng,8U1N0I,miền Nam,đèn LED âm trần,834
2024-10-09,An Mai,13J3T,miền Trung,đèn LED tròn,355
2025-02-24,Anh Trần,D95E4,miền Nam,đèn LED tròn,836
2024-06-06,Hải Dương,35KZ0I,miền Bắc,đèn LED tròn,440
2024-05-05,Ngọc Bùi,K1Y3V,miền Bắc,đèn bàn học,457
2024-01-01,Dương Nguyễn,AINCGJ,miền Trung,đèn LED âm trần,140
2025-03-09,Ông Tú Phạm,1AXZI,miền Nam,đèn LED tròn,48
2025-03-18,Chị Khoa Hoàng,RPDGU,miền Trung,đèn LED âm trần,508
2025-01-10,Cô Duyên Nguyễn,OQYWV,miền Nam,đèn cảm ứng,791
2025-02-12,Tùng Nguyễn,ILG1Q,miền Bắc,đèn bàn học,593
2024-08-22,Phương Trần,6NC96,miền Nam,đèn LED âm trần,753
2024-12-16,Tùng Hữu Đặng,092855,miền Trung,đèn LED tròn,756
2024-06-21,Quang Mai Bảo Hoàng,SOQLH6,miền Nam,đèn cảm ứng,685
2025-03-22,Nhật Xuân Bùi,VYUV86,miền Bắc,đèn cảm ứng,389
2024-09-02,Trung Trần,L619C3,miền Bắc,đèn LED tròn,356
2024-08-19,Hạnh Mai Đặng,T0Q1MJ,miền Nam,đèn LED âm trần,65
2025-02-01,Lâm Trí Hoàng,J6DP2,miền Trung,đèn bàn học,541
2024-10-21,Hoàng Nguyễn,RFQQV,miền Bắc,đèn cảm ứng,428
2024-04-18,Quý ông Hoàng Hoàng,8FZZNV,miền Bắc,đèn bàn học,932
2024-11-12,Chị Hương Mai,8WZ3O,miền Nam,đèn LED âm trần,522
2024-01-16,Chị Thành Dương,FBDOY,miền Trung,đèn cảm ứng,385
2025-01-31,Tú Dương,YE4UTD,miền Trung,đèn cảm ứng,146
2025-01-01,Lâm Vũ,CAUQS,miền Nam,đèn bàn học,727
2024-01-25,Ông Dũng Bùi,KB911,miền Nam,đèn cảm ứng,903
2024-07-24,Anh Dũng Trần,O4614,miền Bắc,đèn cảm ứng,448
2024-08-27,Cô Chi Bùi,JL5JXP,miền Trung,đèn LED âm trần,666
2025-01-15,Quang Quang Lê,IPSR7,miền Bắc,đèn LED âm trần,602
2024-04-16,Mai Hoàng,4KY5VT,miền Nam,đèn bàn học,485
2024-08-10,Quý ông Trọng Dương,HR0IR,miền Nam,đèn LED âm trần,558
2025-01-22,Bà Hồng Phạm,F6QLPB,miền Bắc,đèn LED tròn,404
2024-08-24,Cô Nhật Nguyễn,X0C7I,miền Bắc,đèn bàn học,536
2025-01-02,Khoa Trần,VRBJVS,miền Bắc,đèn LED tròn,530
2025-01-23,Bà Thành Hoàng,2YKL0,miền Bắc,đèn LED âm trần,878
2024-12-25,Hải Phú Phạm,TKMTY,miền Bắc,đèn bàn học,974
2025-02-11,Bà Hồng Vũ,WOZZEH,miền Bắc,đèn LED tròn,683
2024-10-08,Hải Bùi,YN21D,miền Nam,đèn bàn học,183
2024-10-02,Tùng Bảo Bùi,MDV50J,miền Trung,đèn LED âm trần,125
2024-11-16,Kim Mai,DLL3EV,miền Trung,đèn LED âm trần,673
2024-09-02,Phương Bảo Lê,JVB8O3,miền Bắc,đèn bàn học,946
2024-03-16,Hưng Xuân Hoàng,E4Y9S,miền Trung,đèn LED tròn,15
2025-03-20,Bà Xuân Lê,PZGVN,miền Nam,đèn LED âm trần,913
2024-01-07,Bà An Mai,3R0G96,miền Trung,đèn LED tròn,641
2024-02-18,Bà Lan Trần,CMR90M,miền Bắc,đèn LED tròn,639
2024-05-27,Cô Khoa Bùi,DWQUR0,miền Nam,đèn LED âm trần,599
2024-03-29,Quý ông Huy Bùi,7OL9FG,miền Nam,đèn LED tròn,261
2024-07-23,Bà Thảo Đặng,LIRH94,miền Trung,đèn LED âm trần,600
2024-09-24,Thành Hoàng,AF6WJ,miền Trung,đèn cảm ứng,72
2024-12-31,An Nguyễn,TGQ3I2,miền Nam,đèn LED âm trần,715
2024-09-14,Bác Hoàng Mai,7JDL5,miền Bắc,đèn LED tròn,88
2024-03-29,Nhiên Vũ,A5L7Q,miền Nam,đèn LED tròn,357
2024-09-14,Trọng Dương,4Q1K9,miền Bắc,đèn LED tròn,213
2025-02-18,Vi Nguyễn,HF8LA7,miền Bắc,đèn LED tròn,814
2025-02-25,Bà Hải Hoàng,2PHDW,miền Bắc,đèn cảm ứng,287
2024-09-25,Linh Dương,KWRUI,miền Trung,đèn cảm ứng,757
2024-12-24,Khoa Vũ,F8LEQI,miền Bắc,đèn bàn học,605
2024-02-24,Lâm Hữu Vũ,SFQ3B,miền Nam,đèn LED tròn,408
2024-08-08,Bà Thành Vũ,JXMDUA,miền Nam,đèn bàn học,416
2024-01-29,Lâm Phạm,08P0YY,miền Trung,đèn LED tròn,304
2024-08-12,Phúc Phạm,0RGPZ4,miền Trung,đèn cảm ứng,227
2024-12-27,Lâm Hải Bùi,XYCTI,miền Trung,đèn LED tròn,858
2024-02-19,Chị Hương Mai,EROJ0,miền Bắc,đèn bàn học,520
2024-10-23,Lâm Hoàng,TMWCWZ,miền Bắc,đèn cảm ứng,550
2024-12-28,Anh Thị Mai,4JYIYR,miền Trung,đèn LED âm trần,232
2024-07-01,Lan Bùi,OXU3Y,miền Trung,đèn bàn học,697
2024-10-18,Hải Mai,QV5SXB,miền Bắc,đèn LED tròn,845
2024-05-10,Khoa Quang Dương,A3RNJB,miền Trung,đèn cảm ứng,13
2024-05-09,Quý cô Duyên Lê,X2DMEE,miền Bắc,đèn LED tròn,712
2024-05-27,Thành Đặng,O9M5IM,miền Bắc,đèn cảm ứng,835
2024-09-18,Anh Thị Lê,KKNI4,miền Nam,đèn bàn học,879
2024-11-28,Quang Văn Nguyễn,1ZUTUT,miền Nam,đèn bàn học,826
2024-04-08,Anh Khoa Hoàng,IMPLD4,miền Bắc,đèn bàn học,693
2024-07-13,Nhật Quang Hoàng,SV6FE,miền Trung,đèn bàn học,850
2024-04-11,Bảo Nguyễn,LH2WW6,miền Trung,đèn bàn học,776
2024-12-26,Vũ Mai,RHXRD9,miền Trung,đèn LED âm trần,566
2025-03-24,Hải Đặng,2BQHYD,miền Nam,đèn LED âm trần,262
2024-04-28,Ông Thành Mai,WUQJV,miền Trung,đèn LED âm trần,159
2024-05-16,Quang Trần,HU5VP,miền Trung,đèn bàn học,745
2025-03-09,Bà Thành Phạm,V5VRB,miền Trung,đèn LED tròn,3
2024-06-05,Hồng Mai,SHTIW2,miền Nam,đèn LED âm trần,854
2024-11-26,Quý cô Bảo Lê,R26DF,miền Trung,đèn cảm ứng,535
2024-11-10,Vũ Vũ,MEHFWE,miền Nam,đèn LED tròn,380
2024-05-12,An Đặng,Y9ECB,miền Bắc,đèn bàn học,163
2024-03-10,Trọng Đức Mai,PEXP5,miền Trung,đèn bàn học,470
2025-03-16,Tùng Mai Dương,QRSG9,miền Bắc,đèn LED âm trần,687
2024-04-25,Anh Thế Bùi,HG45WH,miền Bắc,đèn LED âm trần,128
2024-04-02,Hạnh Văn Lê,6HKJEX,miền Trung,đèn bàn học,638
2025-02-09,Kim Hoàng,OXV6RW,miền Bắc,đèn bàn học,864
2024-08-20,Chị Phương Hoàng,CU80Y,miền Bắc,đèn cảm ứng,207
2025-02-11,Trọng Mai,AZRIA,miền Bắc,đèn LED âm trần,170
2024-08-02,Thành Hoàng,F9U98,miền Nam,đèn LED tròn,460
2024-03-21,Quý ông Trọng Nguyễn,FZKK15,miền Bắc,đèn LED tròn,939
2025-03-12,Anh Vũ,1U21HT,miền Nam,đèn bàn học,965
2025-01-15,Chị Yến Lê,EJX5U3,miền Trung,đèn cảm ứng,77
2025-02-15,Quý ông Hoàng Vũ,RAIQH,miền Nam,đèn LED âm trần,985
2025-03-16,Hưng Nguyễn,LXJLU2,miền Trung,đèn LED tròn,489
2024-01-22,Quý cô Hạnh Phạm,7Z3X1E,miền Bắc,đèn bàn học,652
2024-01-15,Thành Xuân Bùi,05YNRZ,miền Nam,đèn LED âm trần,961
2024-04-04,Bảo Bảo Đặng,Z4C26,miền Nam,đèn bàn học,560
2024-06-02,Hồng Mai,03V6B,miền Nam,đèn LED âm trần,808
2024-04-15,Phương Đức Lê,ZQYT8,miền Nam,đèn cảm ứng,605
2025-02-06,Khoa Thị Dương,NAJH4H,miền Trung,đèn LED âm trần,725
2024-03-23,Khoa Văn Nguyễn,L26X2J,miền Nam,đèn bàn học,258
2025-04-06,Cô Ánh Dương,JXVI0,miền Nam,đèn cảm ứng,495
2024-09-15,Bà Ngọc Lê,Y2WDE,miền Nam,đèn LED tròn,705
