Date,Employee_Name,unit_code,product_name,Số lượng xuất,province
2024-10-20,Thảo Dương,công ty cổ phần XYZ,đèn LED âm trần,33,Hà Nội
2024-12-23,Phương Dương,công ty TNHH ABC,đèn cảm ứng,23,Cần Thơ
2025-01-25,Chi Dương,công ty cổ phần XYZ,đèn LED âm trần,32,Hà Nội
2024-06-18,Cô Nhật Đặng,công ty TNHH ABC,đèn cảm ứng,60,Hà Nội
2024-11-05,Vi Lê,công ty cổ phần XYZ,đèn LED tròn,38,TP Hồ Chí Minh
2025-02-21,Hà Dương,công ty TNHH Một Thành Viên 123,đèn LED tròn,22,TP Hồ Chí Minh
2024-09-02,Bác Nam Phạm,công ty TNHH Một Thành Viên 123,đèn LED tròn,95,Cần Thơ
2024-09-23,Anh Văn Vũ,công ty TNHH ABC,đèn bàn học,67,Cần Thơ
2025-03-21,Chị Chi Nguyễn,công ty cổ phần XYZ,đèn cảm ứng,97,Cần Thơ
2024-02-23,Dương Vũ,công ty TNHH Một Thành Viên 123,đèn bàn học,48,TP Hồ Chí Minh
2025-02-18,Bà Hồng Nguyễn,công ty TNHH Một Thành Viên 123,đèn LED tròn,32,Đà Nẵng
2024-09-29,Quý cô Dương Mai,công ty TNHH ABC,đèn LED âm trần,95,Hà Nội
2024-11-24,Nhật Mai,công ty cổ phần XYZ,đèn bàn học,21,TP Hồ Chí Minh
2024-09-11,Nhật Đức Lê,công ty TNHH ABC,đèn LED tròn,31,Cần Thơ
2024-10-04,Cô Thảo Dương,công ty cổ phần XYZ,đèn cảm ứng,30,Cần Thơ
2024-08-15,Hà Hoàng,công ty cổ phần XYZ,đèn bàn học,33,TP Hồ Chí Minh
2024-06-01,Vân Nguyễn,công ty cổ phần XYZ,đèn LED âm trần,89,Cần Thơ
2024-12-20,Bác Trọng Phạm,công ty cổ phần XYZ,đèn cảm ứng,31,Hà Nội
2024-11-14,Duyên Lê,công ty cổ phần XYZ,đèn cảm ứng,69,Đà Nẵng
2024-12-09,Hải Đặng,công ty cổ phần XYZ,đèn cảm ứng,78,Đà Nẵng
2024-01-18,Bác Nam Dương,công ty TNHH Một Thành Viên 123,đèn LED tròn,38,Đà Nẵng
2025-02-13,Chị Ngọc Trần,công ty cổ phần XYZ,đèn LED âm trần,17,Hà Nội
2025-03-06,Vân Mai,công ty TNHH ABC,đèn bàn học,33,Cần Thơ
2025-03-08,Thành Mai Bùi,công ty cổ phần XYZ,đèn LED tròn,38,Hà Nội
2024-10-24,Nhật Mai Bảo Đặng,công ty TNHH ABC,đèn bàn học,51,Hà Nội
2024-02-12,Minh Tấn Phạm,công ty TNHH Một Thành Viên 123,đèn LED âm trần,15,Cần Thơ
2025-01-06,Hạnh Hoàng,công ty cổ phần XYZ,đèn bàn học,59,TP Hồ Chí Minh
2024-04-29,Quý cô Linh Đặng,công ty cổ phần XYZ,đèn LED tròn,30,Cần Thơ
2024-12-01,Hoàng Đặng,công ty cổ phần XYZ,đèn LED tròn,52,TP Hồ Chí Minh
2024-12-17,Cô Chi Phạm,công ty TNHH Một Thành Viên 123,đèn bàn học,61,TP Hồ Chí Minh
2024-11-23,Chị Bảo Mai,công ty TNHH ABC,đèn bàn học,99,TP Hồ Chí Minh
2024-06-28,Phương Hoàng,công ty TNHH Một Thành Viên 123,đèn LED âm trần,44,Đà Nẵng
2024-10-09,An Mai,công ty TNHH Một Thành Viên 123,đèn LED tròn,77,Hà Nội
2025-02-24,Anh Trần,công ty cổ phần XYZ,đèn LED tròn,29,Đà Nẵng
2024-06-06,Hải Dương,công ty TNHH ABC,đèn LED tròn,49,Đà Nẵng
2024-05-05,Ngọc Bùi,công ty TNHH Một Thành Viên 123,đèn bàn học,11,Đà Nẵng
2024-01-01,Dương Nguyễn,công ty TNHH Một Thành Viên 123,đèn LED âm trần,67,TP Hồ Chí Minh
2025-03-09,Ông Tú Phạm,công ty TNHH ABC,đèn LED tròn,9,Cần Thơ
2025-03-18,Chị Khoa Hoàng,công ty cổ phần XYZ,đèn LED âm trần,100,Cần Thơ
2025-01-10,Cô Duyên Nguyễn,công ty TNHH Một Thành Viên 123,đèn cảm ứng,67,TP Hồ Chí Minh
2025-02-12,Tùng Nguyễn,công ty TNHH ABC,đèn bàn học,37,Đà Nẵng
2024-08-22,Phương Trần,công ty cổ phần XYZ,đèn LED âm trần,4,Hà Nội
2024-12-16,Tùng Hữu Đặng,công ty TNHH Một Thành Viên 123,đèn LED tròn,87,Đà Nẵng
2024-06-21,Quang Mai Bảo Hoàng,công ty TNHH ABC,đèn cảm ứng,22,Đà Nẵng
2025-03-22,Nhật Xuân Bùi,công ty TNHH Một Thành Viên 123,đèn cảm ứng,52,Cần Thơ
2024-09-02,Trung Trần,công ty TNHH Một Thành Viên 123,đèn LED tròn,36,Cần Thơ
2024-08-19,Hạnh Mai Đặng,công ty cổ phần XYZ,đèn LED âm trần,23,Hà Nội
2025-02-01,Lâm Trí Hoàng,công ty TNHH Một Thành Viên 123,đèn bàn học,76,Cần Thơ
2024-10-21,Hoàng Nguyễn,công ty TNHH Một Thành Viên 123,đèn cảm ứng,62,Cần Thơ
2024-04-18,Quý ông Hoàng Hoàng,công ty TNHH ABC,đèn bàn học,13,TP Hồ Chí Minh
2024-11-12,Chị Hương Mai,công ty cổ phần XYZ,đèn LED âm trần,77,Đà Nẵng
2024-01-16,Chị Thành Dương,công ty cổ phần XYZ,đèn cảm ứng,15,Hà Nội
2025-01-31,Tú Dương,công ty TNHH Một Thành Viên 123,đèn cảm ứng,19,TP Hồ Chí Minh
2025-01-01,Lâm Vũ,công ty TNHH Một Thành Viên 123,đèn bàn học,60,Cần Thơ
2024-01-25,Ông Dũng Bùi,công ty TNHH Một Thành Viên 123,đèn cảm ứng,86,TP Hồ Chí Minh
2024-07-24,Anh Dũng Trần,công ty TNHH Một Thành Viên 123,đèn cảm ứng,59,TP Hồ Chí Minh
2024-08-27,Cô Chi Bùi,công ty cổ phần XYZ,đèn LED âm trần,14,TP Hồ Chí Minh
2025-01-15,Quang Quang Lê,công ty cổ phần XYZ,đèn LED âm trần,22,Cần Thơ
2024-04-16,Mai Hoàng,công ty TNHH ABC,đèn bàn học,48,TP Hồ Chí Minh
2024-08-10,Quý ông Trọng Dương,công ty TNHH ABC,đèn LED âm trần,90,Hà Nội
2025-01-22,Bà Hồng Phạm,công ty TNHH Một Thành Viên 123,đèn LED tròn,96,Đà Nẵng
2024-08-24,Cô Nhật Nguyễn,công ty TNHH ABC,đèn bàn học,27,TP Hồ Chí Minh
2025-01-02,Khoa Trần,công ty TNHH Một Thành Viên 123,đèn LED tròn,65,TP Hồ Chí Minh
2025-01-23,Bà Thành Hoàng,công ty TNHH Một Thành Viên 123,đèn LED âm trần,36,Hà Nội
2024-12-25,Hải Phú Phạm,công ty TNHH Một Thành Viên 123,đèn bàn học,91,Cần Thơ
2025-02-11,Bà Hồng Vũ,công ty TNHH ABC,đèn LED tròn,58,TP Hồ Chí Minh
2024-10-08,Hải Bùi,công ty TNHH Một Thành Viên 123,đèn bàn học,64,Đà Nẵng
